ㄅ b
ㄊㄢ tan
ㄊㄢˇ tan3
ㄊㄢˊ tan2
ㄊㄢˋ tan4
ㄊㄤ tang
ㄊㄤˇ tang3
ㄊㄤˊ tang2
ㄊㄤˋ tang4
ㄊㄥ teng
ㄊㄥˊ teng2
ㄊㄥˋ teng4
ㄊㄧ ti
ㄊㄧˇ ti3
ㄊㄧˊ ti2
ㄊㄧˋ ti4
ㄊㄧㄝ tie
ㄊㄧㄝˇ tie3
ㄊㄧㄝˊ tie2
ㄊㄧㄝˋ tie4
ㄊㄧㄠ tiao
ㄊㄧㄠˇ tiao3
ㄊㄧㄠˊ tiao2
ㄊㄧㄠˋ tiao4
ㄊㄧㄢ tian
ㄊㄧㄢˇ tian3
ㄊㄧㄢˊ tian2
ㄊㄧㄢˋ tian4
ㄊㄧㄥ ting
ㄊㄧㄥˇ ting3
ㄊㄧㄥˊ ting2
ㄊㄧㄥˋ ting4
ㄊㄨ tu
ㄊㄨˇ tu3
ㄊㄨˊ tu2
ㄊㄨˋ tu4
ㄊㄨㄛ tuo
ㄊㄨㄛˇ tuo3
ㄊㄨㄛˊ tuo2
ㄊㄨㄛˋ tuo4
ㄊㄨㄟ tui
ㄊㄨㄟˇ tui3
ㄊㄨㄟˊ tui2
ㄊㄨㄟˋ tui4
ㄊㄨㄢ tuan
ㄊㄨㄢˇ tuan3
ㄊㄨㄢˊ tuan2
ㄊㄨㄢˋ tuan4
ㄊㄨㄣ tun
ㄊㄨㄣˇ tun3
ㄊㄨㄣˊ tun2
ㄊㄨㄣˋ tun4
ㄊㄨㄥ tong
ㄊㄨㄥˇ tong3
ㄊㄨㄥˊ tong2
ㄊㄨㄥˋ tong4
ㄋ n
ㄋˊ n2
ㄋㄚ na
ㄋㄚˇ na3
ㄋㄚˊ na2
ㄋㄚˋ na4
ㄋㄚ˙ na5
ㄋㄜ ne
ㄋㄜˋ ne4
ㄋㄜ˙ ne5
ㄋㄞˇ nai3
ㄋㄞˊ nai2
ㄋㄞˋ nai4
ㄋㄟˇ nei3
