ˇ 
ˊ 
ˋ 
˙ 
ㄅ b
ㄌㄚ˙ la
ㄌㄛ lo
ㄌㄛ˙ lo
ㄌㄜˋ le
ㄌㄜ˙ le
ㄌㄞˇ lai
ㄌㄞˊ lai
ㄌㄞˋ lai
ㄌㄟ lei
ㄌㄟˇ lei
ㄌㄟˊ lei
ㄌㄟˋ lei
ㄌㄟ˙ lei
ㄌㄠ lao
ㄌㄠˇ lao
ㄌㄠˊ lao
ㄌㄠˋ lao
ㄌㄡ lou
ㄌㄡˇ lou
ㄌㄡˊ lou
ㄌㄡˋ lou
ㄌㄡ˙ lou
ㄌㄢˇ lan
ㄌㄢˊ lan
ㄌㄢˋ lan
ㄌㄤ lang
ㄌㄤˇ lang
ㄌㄤˊ lang
ㄌㄤˋ lang
ㄌㄥ leng
ㄌㄥˇ leng
ㄌㄥˊ leng
ㄌㄥˋ leng
ㄌㄧ li
ㄌㄧˇ li
ㄌㄧˊ li
ㄌㄧˋ li
ㄌㄧ˙ li
ㄌㄧㄚˇ lia
ㄌㄧㄝ lie
ㄌㄧㄝˇ lie
ㄌㄧㄝˊ lie
ㄌㄧㄝˋ lie
ㄌㄧㄠ liao
ㄌㄧㄠˇ liao
ㄌㄧㄠˊ liao
ㄌㄧㄠˋ liao
ㄌㄧㄡ liu
ㄌㄧㄡˇ liu
ㄌㄧㄡˊ liu
ㄌㄧㄡˋ liu
ㄌㄧㄢ lian
ㄌㄧㄢˇ lian
ㄌㄧㄢˊ lian
ㄌㄧㄢˋ lian
ㄌㄧㄣˇ lin
ㄌㄧㄣˊ lin
ㄌㄧㄣˋ lin
ㄌㄧㄤ liang
ㄌㄧㄤˇ liang
ㄌㄧㄤˊ liang
ㄌㄧㄤˋ liang
ㄌㄧㄥ ling
ㄌㄧㄥˇ ling
ㄌㄧㄥˊ ling
ㄌㄧㄥˋ ling
ㄌㄨ lu
ㄌㄨˇ lu
ㄌㄨˊ lu
ㄌㄨˋ lu
ㄌㄨ˙ lu
ㄌㄨㄛ luo
ㄌㄨㄛˇ luo
ㄌㄨㄛˊ luo
ㄌㄨㄛˋ luo
ㄌㄨㄛ˙ luo
ㄌㄨㄜˊ lue
ㄌㄨㄢˇ luan
ㄌㄨㄢˊ luan
ㄌㄨㄢˋ luan
ㄌㄨㄣ lun
ㄌㄨㄣˇ lun
ㄌㄨㄣˊ lun
ㄌㄨㄣˋ lun
ㄌㄨㄥ long
ㄌㄨㄥˇ long
ㄌㄨㄥˊ long
ㄌㄨㄥˋ long
ㄌㄩ lu
ㄌㄩˇ lu
ㄌㄩˊ lu
ㄌㄩˋ lu
ㄌㄩㄝ lue
ㄌㄩㄝˇ lue
ㄌㄩㄝˋ lue
ㄌㄩㄢˇ luan
ㄌㄩㄢˊ luan
ㄍ g
ㄍㄚ ga
ㄍㄚˇ ga
ㄍㄚˊ ga
ㄍㄚˋ ga
ㄍㄚ˙ ga
ㄍㄜ ge
ㄍㄜˇ ge
ㄍㄜˊ ge
ㄍㄜˋ ge
ㄍㄜ˙ ge
ㄍㄞ gai
ㄍㄞˇ gai
ㄍㄞˋ gai
ㄍㄟˇ gei
ㄍㄟˊ gei
ㄍㄠ gao
ㄍㄠˇ gao
ㄍㄠˋ gao
ㄍㄡ gou
ㄍㄡˇ gou
ㄍㄡˋ gou
ㄍㄢ gan
ㄍㄢˇ gan
ㄍㄢˋ gan
ㄍㄣ gen
ㄍㄣˇ gen
ㄍㄣˊ gen
ㄍㄣˋ gen
ㄍㄤ gang
ㄍㄤˇ gang
ㄍㄤˋ gang
ㄍㄥ geng
ㄍㄥˇ geng
ㄍㄥˋ geng
ㄍㄨ gu
ㄍㄨˇ gu
ㄍㄨˊ gu
ㄍㄨˋ gu
ㄍㄨㄚ gua
ㄍㄨㄚˇ gua
ㄍㄨㄚˊ gua
ㄍㄨㄚˋ gua
ㄍㄨㄛ guo
ㄍㄨㄛˇ guo
ㄍㄨㄛˊ guo
