ㄅ b
ㄘㄜ ce
ㄘㄞ cai
ㄘㄠ cao
ㄘㄡ cou
ㄘㄢ can
ㄘㄣ cen
ㄘㄤ cang
ㄘㄥ ceng
ㄘㄨ cu
ㄘㄨㄛ cuo
ㄘㄨㄟ cui
ㄘㄨㄢ cuan
ㄘㄨㄣ cun
ㄘㄨㄥ cong
ㄙ si
ㄙㄚ sa
ㄙㄜ se
ㄙㄞ sai
ㄙㄠ sao
ㄙㄡ sou
ㄙㄢ san
ㄙㄣ sen
ㄙㄤ sang
ㄙㄥ seng
ㄙㄨ su
ㄙㄨㄛ suo
ㄙㄨㄟ sui
ㄙㄨㄢ suan
ㄙㄨㄣ sun
ㄙㄨㄥ song
ㄚ a
ㄛ o
ㄜ e
ㄝ e
ㄞ ai
ㄟ ei
ㄠ ao
ㄡ ou
ㄢ an
ㄣ en
ㄤ ang
ㄥ eng
ㄦ er
ㄧ yi
ㄧㄚ ya
ㄧㄛ yo
ㄧㄝ ye
ㄧㄞ yai
ㄧㄠ yao
ㄧㄡ you
ㄧㄢ yan
ㄧㄣ yin
ㄧㄤ yang
ㄧㄥ ying
ㄨ wu
ㄨㄚ wa
ㄨㄛ wo
ㄨㄞ wai
ㄨㄟ wei
ㄨㄢ wan
ㄨㄣ wen
ㄨㄤ wang
ㄨㄥ weng
ㄩ yu
ㄩㄝ yue
ㄩㄢ yuan
ㄩㄣ yun
ㄩㄥ yong
